Fecha,Estado,Ventas
2023-03-01,Aguascalientes,862.8
2023-03-01,Baja California,89486.76
2023-03-01,Baja California,3431.28
2023-03-01,Baja California,567135.64
2023-03-01,Baja California Sur,7419.52
2023-03-01,Baja California Sur,0.0
2023-03-01,Campeche,4759.3
2023-03-01,Chiapas,118368.19
2023-03-01,Chihuahua,333308.47
2023-03-01,Chihuahua,750.57
2023-03-01,Coahuila,0.0
2023-03-01,Coahuila,2629.26
2023-03-01,Coahuila,32139.36
2023-03-01,Coahuila,114650.97
2023-03-01,Colima,6316.84
2023-03-01,Durango,3787.71
2023-03-01,Durango,25951.8
2023-03-01,Guanajuato,9885.96
2023-03-01,Guanajuato,11370.9
2023-03-01,Guanajuato,339323.74
2023-03-01,Guanajuato,862.8
2023-03-01,Guerrero,4887.24
2023-03-01,Hidalgo,3258.16
2023-03-01,Jalisco,2588.4
2023-03-01,Jalisco,607194.39
2023-03-01,Jalisco,5258.52
2023-03-01,Jalisco,7887.78
2023-03-01,Jalisco,13804.8
2023-03-01,Jalisco,28472.4
2023-03-01,Jalisco,0.0
2023-03-01,Jalisco,41247.84
2023-03-01,Mexico City,8140551.99
2023-03-01,Mexico City,197760.58
2023-03-01,Mexico City,26784.06
2023-03-01,Mexico City,849005.02
2023-03-01,Mexico City,215219.15
2023-03-01,Mexico City,0.0
2023-03-01,Mexico City,57391.55
2023-03-01,Mexico City,893500.98
2023-03-01,Mexico City,25977.6
2023-03-01,Mexico City,0.0
2023-03-01,Mexico State,7356.95
2023-03-01,Mexico State,750.57
2023-03-01,Mexico State,7920.0
2023-03-01,Mexico State,0.0
2023-03-01,Mexico State,85421.18
2023-03-01,Mexico State,0.0
2023-03-01,Mexico State,0.0
2023-03-01,Mexico State,0.0
2023-03-01,Mexico State,0.0
2023-03-01,Mexico State,0.0
2023-03-01,Mexico State,9714.78
2023-03-01,Mexico State,750.57
2023-03-01,Michoacan,53193.8
2023-03-01,Michoacan,2287.52
2023-03-01,Michoacan,12942.0
2023-03-01,Michoacan,1725.6
2023-03-01,Michoacan,16012.64
2023-03-01,Nayarit,30829.96
2023-03-01,Nuevo Leon,0.0
2023-03-01,Nuevo Leon,0.0
2023-03-01,Nuevo Leon,37658.14
2023-03-01,Nuevo Leon,445245.96
2023-03-01,Nuevo Leon,89098.72
2023-03-01,Nuevo Leon,216363.14
2023-03-01,Puebla,54331.63
2023-03-01,Puebla,137003.63
2023-03-01,Queretaro,116379.38
2023-03-01,Quintana Roo,64879.5
2023-03-01,Quintana Roo,14297.0
2023-03-01,San Luis Potosi,412931.58
2023-03-01,Sinaloa,5258.52
2023-03-01,Sinaloa,18938.55
2023-03-01,Sinaloa,0.0
2023-03-01,Sonora,0.0
2023-03-01,Sonora,3073.0
2023-03-01,Sonora,1725.6
2023-03-01,Tabasco,188563.32
2023-03-01,Tamaulipas,0.0
2023-03-01,Tamaulipas,0.0
2023-03-01,Tamaulipas,1600.0
2023-03-01,Tamaulipas,1848.66
2023-03-01,Veracruz,5248.06
2023-03-01,Veracruz,8089.0
2023-03-01,Yucatan,10111.2
2023-03-01,Zacatecas,22059.09
2023-03-01,Baja California,1629.08
2023-03-01,Baja California,627638.7
2023-03-01,Chihuahua,8754.27
2023-03-01,Chihuahua,750.57
2023-03-01,Coahuila,85505.18
2023-03-01,Coahuila,24428.0
2023-03-01,Guerrero,0.0
2023-03-01,Mexico City,0.0
2023-03-01,Mexico City,565703.7
2023-03-01,Mexico City,40528.0
2023-03-01,Mexico City,18205.49
2023-03-01,Mexico City,15258.52
2023-03-01,Mexico City,750.57
2023-03-01,Mexico State,45372.2
2023-03-01,Mexico State,60550.5
2023-03-01,Mexico State,4368.45
2023-03-01,Nuevo Leon,45870.47
2023-03-01,Nuevo Leon,31346.64
2023-03-01,Puebla,22286.78
2023-03-01,San Luis Potosi,300988.12
2023-03-01,Veracruz,2291.7
2023-03-01,Yucatan,0.0
2023-03-01,Aguascalientes,227580.3
2023-03-01,Aguascalientes,0.0
2023-03-01,Baja California,372763.66
